family,year,statute,regulation,total
42,2000,22670,46643,69313
42,2001,22439,41560,63999
42,2002,21651,41614,63265
43,1998,0,39607,39607
43,1999,0,39930,39930
43,2000,0,39930,39930
43,2001,0,39911,39911
43,2002,0,46595,46595
43,2003,0,47212,47212
43,2004,0,50071,50071
43,2005,0,50071,50071
43,2006,0,60469,60469
43,2007,0,63546,63546
43,2008,0,63546,63546
43,2009,0,53452,53452
43,2010,0,53452,53452
43,2011,0,53029,53029
43,2012,0,53029,53029
43,2013,0,54801,54801
43,2014,0,57550,57550
43,2015,0,57550,57550
43,2016,0,57547,57547
43,2017,0,58761,58761
44,2007,0,63366,63366
45,2010,17032,6979,24011
45,2011,23546,8792,32338
45,2012,20886,8790,29676
45,2013,22207,15168,37375
45,2014,24357,17626,41983
45,2015,22241,15310,37551
45,2016,22639,16642,39281
45,2017,26932,29224,56156
45,2018,29247,29457,58704
45,2019,31476,29864,61340
46,2018,44386,15357,59743
46,2019,45793,15357,61150
47,2004,12865,5677,18542
47,2005,12934,5677,18611
47,2006,12934,7008,19942
47,2007,18147,11878,30025
47,2008,18147,11878,30025
47,2009,18734,15608,34342
47,2010,18937,15608,34545
47,2011,23527,27764,51291
47,2012,23511,27749,51260
47,2013,23868,27525,51393
47,2014,23868,27525,51393
47,2015,23886,27527,51413
47,2016,23864,27504,51368
47,2017,24581,27747,52328
47,2018,24431,27747,52178
47,2019,18123,42741,60864
48,1998,25810,30568,56378
48,1999,26094,33201,59295
48,2000,24021,32251,56272
48,2001,24204,35234,59438
48,2002,24202,35229,59431
48,2003,24202,35229,59431
48,2004,24202,35229,59431
48,2005,24260,35229,59489
48,2006,23666,34597,58263
48,2007,23663,30904,54567
48,2008,23663,30904,54567
48,2009,25018,31302,56320
48,2010,25018,30931,55949
48,2011,25434,30835,56269
48,2012,25460,30835,56295
48,2013,25865,31795,57660
48,2014,25982,32258,58240
48,2015,26075,32231,58306
48,2016,26097,32057,58154
48,2017,26850,33154,60004
48,2018,27149,33154,60303
48,2019,27602,33182,60784
49,2008,38980,3562,42542
49,2009,48310,3545,51855
49,2010,43103,3569,46672
49,2011,44049,3569,47618
49,2012,44085,3569,47654
49,2013,44512,3569,48081
49,2014,44548,3699,48247
49,2015,44968,3744,48712
49,2016,47911,3744,51655
49,2017,48103,3744,51847
49,2018,48365,3744,52109
49,2019,54941,4378,59319
50,2004,11418,34454,45872
50,2005,11418,33202,44620
50,2006,11761,39105,50866
50,2007,11767,35315,47082
50,2008,14598,36077,50675
50,2009,14880,39528,54408
50,2010,14881,41691,56572
50,2011,14911,43615,58526
50,2012,14911,41752,56663
